"farmer","region","year","season","trt","stem","striga","yield","start_year","start_season","siteid_source","siteid","gridpointid","gridcellid_rainfall","rainfallregime","gridcellid_smoist","gridcellid_temp","NDWDMTBelow13.8C","GDDBelow13.8","S","LowestADMT31","alt4gridcell_temp","start_wet","end_wet","Ndays","Nwetdays","Ndrydays","rainfallacc","smoist_Ndayswthobs","smoistacc","avgsmoistbefNdayswthobs","avgsmoistbef","temp_avdm","temp_mindm","temp_maxdm","Ndryspls2days","Ndryspls3days","Ndryspls4days","Ndryspls5days","Ndryspls6days","Ndryspls7days","Ndryspls8days","Ndryspls9days","Ndryspls10days","Ndryspls11days","Ndryspls12days","Ndryspls13days","Ndryspls14days","Ndryspls15days","Ndryspls16days","Ndryspls17days","Ndryspls18days","Ndryspls19days","Ndryspls20ormoredays","Ndrysplmaxlgth","Ndrysplfst20days","Ndrysplaft50days","dmtperc2.5","dmtperc5","dmtperc10","dmtperc25","dmtperc75","dmtperc90","dmtperc95","dmtperc97.5","county","m_asl","rownumber","rainfallaccm","yearf","dmtperc10degC","dmtperc90degC","rainfallaccm2","stemlog","strigalog","strigalog10","stem_p","stem_c","striga_p","striga_c","yield_p","yield_c","stemlog_p","stemlog_c","strigalog_p","strigalog_c","trt.labels","dmtperc90degC_s","Ndrysplfst20days_s","Ndrysplaft50days_s","dmtperc10degC_s","rainfallaccm_mean","dmtperc90degC_mean","dmtperc10degC_mean","Ndrysplfst20days_mean","Ndrysplaft50days_mean","yield_mean","stemlog_mean","strigalog_mean"
"farmer_407","Bondo",2013,"LR","p",6,17,6.853333333,2014,"LR","FinalCoordsNew",1,401,47,2,10,36,0,0,222,295.61,1147.902,65,153,88,65,23,532.01,0,0,0,0,296.23,294,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,11,294.3003,294.6757,294.9409,295.5415,296.6226,297.1382,297.6487,298.3994,"Siaya",1232,"1",0.53201,"2013",21.9409,24.1382,0.2830346401,1.94591014905531,2.89037175789616,1.25527250510331,6,13,17,281,6.853333333,2.506666667,1.94591014905531,2.63905732961526,2.89037175789616,5.64190707093811,"PPT",1.1084055353151,-1.23424276328894,2.19245386667489,1.90086194040384,0.472716666666667,25.4873666666667,21.9924666666667,7.66666666666667,6,4.03,1.9416210844104,3.21732645162559
"farmer_407","Bondo",2013,"LR","c",13,281,2.506666667,2014,"LR","FinalCoordsNew",1,401,47,2,10,36,0,0,222,295.61,1147.902,65,153,88,65,23,532.01,0,0,0,0,296.23,294,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,11,294.3003,294.6757,294.9409,295.5415,296.6226,297.1382,297.6487,298.3994,"Siaya",1232,"2",0.53201,"2013",21.9409,24.1382,0.2830346401,2.63905732961526,5.64190707093811,2.45024910831936,6,13,17,281,6.853333333,2.506666667,1.94591014905531,2.63905732961526,2.89037175789616,5.64190707093811,"Control",1.1084055353151,-1.23424276328894,2.19245386667489,1.90086194040384,0.472716666666667,25.4873666666667,21.9924666666667,7.66666666666667,6,4.03,1.9416210844104,3.21732645162559
"farmer_407","Bondo",2014,"LR","p",0,0,5.5,2014,"LR","FinalCoordsNew",1,401,47,2,10,36,0,0,234,295.78,1147.902,65,153,88,47,41,389.3,0,0,0,0,296.68,293.5,300.25,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,294.1013,294.6757,295.3108,295.9527,297.1081,298.0203,298.6554,298.9797,"Siaya",1232,"3",0.3893,"2014",22.3108,25.0203,0.15155449,0,0,0,0,12,0,227,5.5,1.6,0,2.56494935746154,0,5.42934562895444,"PPT",1.8808522867735,0.431660308817953,0.329416477121585,2.32178132741964,0.472716666666667,25.4873666666667,21.9924666666667,7.66666666666667,6,4.03,1.9416210844104,3.21732645162559
"farmer_407","Bondo",2014,"LR","c",12,227,1.6,2014,"LR","FinalCoordsNew",1,401,47,2,10,36,0,0,234,295.78,1147.902,65,153,88,47,41,389.3,0,0,0,0,296.68,293.5,300.25,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,294.1013,294.6757,295.3108,295.9527,297.1081,298.0203,298.6554,298.9797,"Siaya",1232,"4",0.3893,"2014",22.3108,25.0203,0.15155449,2.56494935746154,5.42934562895444,2.35793484700045,0,12,0,227,5.5,1.6,0,2.56494935746154,0,5.42934562895444,"Control",1.8808522867735,0.431660308817953,0.329416477121585,2.32178132741964,0.472716666666667,25.4873666666667,21.9924666666667,7.66666666666667,6,4.03,1.9416210844104,3.21732645162559
"farmer_407","Bondo",2014,"SR","p",0,0,NA,2014,"LR","FinalCoordsNew",1,401,47,2,10,36,0,0,234,295.78,1147.902,295,354,59,31,28,186.5,0,0,0,0,296.78,294.5,298.25,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,294.6201,294.8716,295.2395,295.9264,297.563,297.8559,298.006,298.1299,"Siaya",1232,"5",0.1865,"2014",22.2395,24.8559,0.03478225,0,0,0,0,9,0,167,NA,NA,0,2.30258509299405,0,5.12396397940326,"PPT",1.73688873849127,-0.567881534446183,0.0189102455293677,2.24064709575106,0.1865,24.8559,22.2395,3,4,NA,1.15129254649702,2.56198198970163
"farmer_407","Bondo",2014,"SR","c",9,167,NA,2014,"LR","FinalCoordsNew",1,401,47,2,10,36,0,0,234,295.78,1147.902,295,354,59,31,28,186.5,0,0,0,0,296.78,294.5,298.25,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,294.6201,294.8716,295.2395,295.9264,297.563,297.8559,298.006,298.1299,"Siaya",1232,"6",0.1865,"2014",22.2395,24.8559,0.03478225,2.30258509299405,5.12396397940326,2.22530928172586,0,9,0,167,NA,NA,0,2.30258509299405,0,5.12396397940326,"Control",1.73688873849127,-0.567881534446183,0.0189102455293677,2.24064709575106,0.1865,24.8559,22.2395,3,4,NA,1.15129254649702,2.56198198970163
"farmer_407","Bondo",2015,"LR","p",5,0,4.95,2014,"LR","FinalCoordsNew",1,401,47,2,10,36,0,0,317,295.38,1147.902,65,153,88,56,32,496.84,0,0,0,0,296.67,293.5,301.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,16,2,293.8026,294.1827,294.7257,295.3386,296.8979,300.3036,300.9552,301.1181,"Siaya",1232,"7",0.49684,"2015",21.7257,27.3036,0.2468499856,1.79175946922805,0,0,5,14,0,208,4.95,2.77,1.79175946922805,2.70805020110221,0,5.34233425196481,"PPT",3.88031682322615,3.76346645303174,-0.602102217655067,1.6559799396312,0.472716666666667,25.4873666666667,21.9924666666667,7.66666666666667,6,4.03,1.9416210844104,3.21732645162559
"farmer_407","Bondo",2015,"LR","c",14,208,2.77,2014,"LR","FinalCoordsNew",1,401,47,2,10,36,0,0,317,295.38,1147.902,65,153,88,56,32,496.84,0,0,0,0,296.67,293.5,301.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,16,2,293.8026,294.1827,294.7257,295.3386,296.8979,300.3036,300.9552,301.1181,"Siaya",1232,"8",0.49684,"2015",21.7257,27.3036,0.2468499856,2.70805020110221,5.34233425196481,2.32014628611105,5,14,0,208,4.95,2.77,1.79175946922805,2.70805020110221,0,5.34233425196481,"Control",3.88031682322615,3.76346645303174,-0.602102217655067,1.6559799396312,0.472716666666667,25.4873666666667,21.9924666666667,7.66666666666667,6,4.03,1.9416210844104,3.21732645162559
"farmer_254","Bondo",2012,"SR","p",4,22,5.28,2012,"SR","FinalCoordinates",14,14,54,2,8,31,0,0,183,294.55,1236.689,294,341,47,30,17,255.65,9,12.09,2,0.2854,295.58,293.25,297.5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,293.2968,293.5903,294.0881,294.6752,296.1897,296.6109,296.9129,297.2065,"Siaya",1335,"9",0.25565,"2012",21.0881,23.6109,0.0653569225,1.6094379124341,3.13549421592915,1.36172783601759,4,14,22,310,5.28,2.24,1.6094379124341,2.70805020110221,3.13549421592915,5.73979291217923,"PPT",0.646653838178758,-0.901062148867562,-1.2231146808395,0.930437357416265,0.230913333333333,23.9878333333333,21.564,3,0,NA,2.25793851880145,3.92506249790667
"farmer_254","Bondo",2012,"SR","c",14,310,2.24,2012,"SR","FinalCoordinates",14,14,54,2,8,31,0,0,183,294.55,1236.689,294,341,47,30,17,255.65,9,12.09,2,0.2854,295.58,293.25,297.5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,293.2968,293.5903,294.0881,294.6752,296.1897,296.6109,296.9129,297.2065,"Siaya",1335,"10",0.25565,"2012",21.0881,23.6109,0.0653569225,2.70805020110221,5.73979291217923,2.49276038902684,4,14,22,310,5.28,2.24,1.6094379124341,2.70805020110221,3.13549421592915,5.73979291217923,"Control",0.646653838178758,-0.901062148867562,-1.2231146808395,0.930437357416265,0.230913333333333,23.9878333333333,21.564,3,0,NA,2.25793851880145,3.92506249790667
